This list contains all games supported by FB Alpha.

8595 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| cv_2010p	|  	| 2010: The Graphic Action Game (Prototype v54)		| cv_2010	| 1984	| Coleco	| ColecoVision	| 					|
| 2020bb	|  	| 2020 Super Baseball (set 1)				| 		| 1991	| SNK / Pallas	| Neo Geo MVS	| 					|
| 2020bba	|  	| 2020 Super Baseball (set 2)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo MVS	| 					|
| 2020bbh	|  	| 2020 Super Baseball (set 3)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo AES	| 					|
| md_2020bbj	|  	| 2020 Toshi Super Baseball (Jpn)			| md_2020bb	| 1994	| Electronic Art| Sega Megadrive| 					|
| pce_21emon	|  	| 21 Emon - Mezase Hotel ou!!				| 		| 1994	| NEC Home Elect| PC Engine	| 					|
| 3countba	|  	| 3 Count Bout / Fire Suplex (NGM-043)			| 3countb	| 1993	| SNK		| Neo Geo MVS	| 					|
| 3countb	|  	| 3 Count Bout / Fire Suplex (NGM-043)(NGH-043)		| 		| 1993	| SNK		| Neo Geo MVS	| 					|
| md_3in1fwt	|  	| 3 in 1 Flashback - World Championship Soccer - Tecmo W| 		| 199?	| <unknown>	| Sega Megadrive| 					|
| md_3in1rmb	|  	| 3 in 1 Road Rash - Ms. Pac-Man - Block Out (Pirate)	| 		| 199?	| <unknown>	| Sega Megadrive| 					|
| md_3ninja	|  	| 3 Ninjas Kick Back (USA)				| 		| 1994	| Psygnosis	| Sega Megadrive| 					|
| 4enraya	|  	| 4 En Raya (set 1)					| 		| 1990	| IDSA		| Miscellaneous	| 					|
| 4enrayaa	|  	| 4 En Raya (set 2)					| 4enraya	| 1990	| IDSA		| Miscellaneous	| 					|
| 4in1		|  	| 4 Fun in 1						| 		| 1981	| Armenia / Food| Galaxian	| 					|
| md_4in1pb	|  	| 4 in 1 (Pirate)					| 		| 199?	| <unknown>	| Sega Megadrive| 					|
| sms_4pak	|  	| 4 PAK All Action (Aus)				| 		| 1995	| HES		| Sega Master Sy| 					|
| 4play		|  	| 4 player input test					| 		| ???	| SNK		| Neo Geo MVS	| 4 player  input test cartridge	|
| 4dwarrio	|  	| 4-D Warriors (315-5162)				| 		| 1985	| Coreland / Seg| System 1	| 					|
| 1942h		|  	| 42 (Screamware bootleg, hack)				| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| gg_5in1fun	|  	| 5 in 1 Funpak (USA)					| 		| 1994	| Interplay	| Sega Game Gear| 					|
| md_6pak	|  	| 6-Pak (USA)						| 		| 1996	| Sega		| Sega Megadrive| 					|
| 600		|  	| 600							| turtles	| 1981	| Konami	| Galaxian	| 					|
| 64streetj	|  	| 64th. Street - A Detective Story (Japan)		| 64street	| 1991	| Jaleco	| Mega System 1	| 					|
| 64street	|  	| 64th. Street - A Detective Story (World)		| 		| 1991	| Jaleco	| Mega System 1	| 					|
| md_688atsub	|  	| 688 Attack Sub (Euro, USA)				| 		| 1991	| Sega		| Sega Megadrive| 					|
| 7ordi		|  	| 7 Ordi (Korea)					| 		| 2002	| Yun Sung	| Miscellaneous	| 					|
| 800fath	|  	| 800 Fathoms						| mariner	| 1981	| Amenip (US Bil| Galaxian	| 					|
| sms_94swc	|  	| 94 Super World Cup Soccer (Kor)			| 		| 1994	| Daou Infosys	| Sega Master Sy| 					|
| md_bugslife	|  	| A Bug's Life						| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| md_bugslifea	|  	| A Bug's Life (Alt?)					| md_bugslife	| 199?	| <unlicensed>	| Sega Megadrive| 					|
| md_dinotale	|  	| A Dinosaur's Tale (USA)				| 		| 1993	| Hi-Tech Expres| Sega Megadrive| 					|
| md_aresshmd	|  	| A Ressha de Ikou MD - Take the 'A' Train (Jpn)	| 		| 1992	| Sega		| Sega Megadrive| 					|
| abcopjd	|  	| A.B. Cop (Japan, FD1094 317-0169b decrypted)		| abcop		| 1990	| Sega		| X-Board	| 					|
| abcopj	|  	| A.B. Cop (Japan, FD1094 317-0169b)			| abcop		| 1990	| Sega		| X-Board	| 					|
| abcopd	|  	| A.B. Cop (World, FD1094 317-0169b decrypted)		| abcop		| 1990	| Sega		| X-Board	| 					|
| abcop		|  	| A.B. Cop (World, FD1094 317-0169b)			| 		| 1990	| Sega		| X-Board	| 					|
| ad2083	|  	| A.D. 2083						| 		| 1983	| Midcoin	| Galaxian	| Incomplete Sound			|
| md_aaharima	|  	| Aa Harimanada (Jpn)					| 		| 1993	| Sega		| Sega Megadrive| 					|
| gg_aaharima	|  	| Aa Harimanada (Jpn)					| 		| 1993	| Sega		| Sega Game Gear| 					|
| md_aaahhrm	|  	| AAAHH!!! Real Monsters (Euro)				| 		| 1995	| Viacom New Med| Sega Megadrive| 					|
| md_aaahhrmu	|  	| AAAHH!!! Real Monsters (USA)				| md_aaahhrm	| 1995	| Viacom New Med| Sega Megadrive| 					|
| abscam	|  	| Abscam						| puckman	| 1981	| GL (US Billiar| Pac-man	| 					|
| aceattac	|  	| Ace Attacker (FD1094 317-0059)			| 		| 1988	| Sega		| System 16B	| 					|
| aceattaca	|  	| Ace Attacker (Japan, System 16A, FD1094 317-0060)	| aceattac	| 1986	| Sega		| System 16A	| 					|
| sms_aceoface	|  	| Ace of Aces (Euro)					| 		| 1991	| Sega		| Sega Master Sy| 					|
| acrobatm	|  	| Acrobat Mission					| 		| 1991	| UPL (Taito lic| NMK16		| 					|
| actfancrj	|  	| Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					|
| actfancr1	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 1)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					|
