
MAME4ALL GAME LIST (2270 romsets)
---------------------------------

Name:     Description:
bayrtbl1  "Bay Route (bootleg set 1)"
bayrtbl2  "Bay Route (bootleg set 2)"
bayroute  "Bay Route (set 1)"
bayrouta  "Bay Route (set 2)"
beastf    "Beastie Feastie"
blswhstl  "Bells & Whistles"
berabohm  "Beraboh Man (Japan)"
berlwall  "Berlin Wall, The (set 1)"
berlwalt  "Berlin Wall, The (set 2)"
bermudaj  "Bermuda Triangle (Japan)"
bermudaa  "Bermuda Triangle (US early version)"
bermudat  "Bermuda Triangle (US)"
berzerk   "Berzerk (set 1)"
berzerk1  "Berzerk (set 2)"
bigkarnk  "Big Karnak"
bigprowr  "Big Pro Wrestling!, The"
bigstrik  "Big Striker"
billiard  "Billiards, The"
bioatack  "Bio Attack"
biomtoy   "Biomechanical Toy (unprotected)"
bionicc   "Bionic Commando (US set 1)"
bionicc2  "Bionic Commando (US set 2)"
bking2    "Birdie King 2"
blkdrgnb  "Black Dragon (bootleg)"
blkdrgon  "Black Dragon"
blkhole   "Black Hole"
bktigerb  "Black Tiger (bootleg)"
blktiger  "Black Tiger"
bwidow    "Black Widow"
bmaster   "Blade Master (World)"
bladstle  "Blades of Steel (version E)"
bladestl  "Blades of Steel (version T)"
blandia   "Blandia [Prototype]"
blastoff  "Blast Off (Japan)"
blasted   "Blasted"
blaster   "Blaster"
blstroi2  "Blasteroids (version 2)"
blstroid  "Blasteroids (version 4)"
blsthead  "Blasteroids (with heads)"
blasto    "Blasto"
blazer    "Blazer (Japan)"
blazstar  "Blazing Star"
arkbloc2  "Block (Game Corporation bootleg)"
blockj    "Block Block (Japan)"
block     "Block Block (World)"
blockbl   "Block Block (bootleg)"
blckgalb  "Block Gal (bootleg)"
blockgal  "Block Gal"
blockhl   "Block Hole"
blockout  "Block Out (set 1)"
blckout2  "Block Out (set 2)"
blockade  "Blockade"
blocken   "Blocken (Japan)"
bloodbro  "Blood Bros."
bldwolf   "Bloody Wolf (US)"
blueprnj  "Blue Print (Jaleco)"
blueprnt  "Blue Print (Midway)"
blueshrk  "Blue Shark"
bjourney  "Blue's Journey / Raguy"
boblbobl  "Bobble Bobble"
bodyslam  "Body Slam"
bogeyman  "Bogey Manor"
bombbee   "Bomb Bee"
bombjack  "Bomb Jack (set 1)"
bombjac2  "Bomb Jack (set 2)"
bjtwin    "Bombjack Twin"
bootcamp  "Boot Camp"
boothill  "Boot Hill"
boscomd   "Bosconian (Midway, new version)"
boscomdo  "Bosconian (Midway, old version)"
bosco     "Bosconian (new version)"
boscoo    "Bosconian (old version)"
boscoo2   "Bosconian (older version)"
bottom9n  "Bottom of the Ninth (version N)"
bottom9   "Bottom of the Ninth (version T)"
bouldash  "Boulder Dash / Boulder Dash Part 2 (World)"
bowlrama  "Bowl-O-Rama"
boxingb   "Boxing Bugs"
brain     "Brain"
brkthru   "Break Thru (US)"
breakrev  "Breakers Revenge"
breakers  "Breakers"
breywood  "Breywood (Japan revision 2)"
brix      "Brix"
brutforc  "Brute Force"
bublbobr  "Bubble Bobble (US with mode select)"
bubbobr1  "Bubble Bobble (US)"
bublbobl  "Bubble Bobble"
bubblesr  "Bubbles (Solid Red label)"
bubbles   "Bubbles"
bnj       "Bump 'n' Jump"
btime     "Burger Time (Data East set 1)"
btime2    "Burger Time (Data East set 2)"
btimem    "Burger Time (Midway)"
brubber   "Burnin' Rubber"
burningf  "Burning Fight (set 1)"
burningh  "Burning Fight (set 2)"
burnforc  "Burning Force (Japan)"
bbros     "Buster Bros (US)"
butasan   "Butasan (Japan)"
cabal     "Cabal (US set 1)"
cabal2    "Cabal (US set 2)"
cabalbl   "Cabal (bootleg)"
cachat    "Cachat (Japan)"
dinoj     "Cadillacs Kyouryuu-Shinseiki (Japan)"
dino      "Cadillacs and Dinosaurs (World)"
calibr50  "Caliber 50"
calipso   "Calipso"
cameltry  "Camel Try (Japan)"
cameltru  "Camel Try (US)"
canbprot  "Canyon Bomber (prototype)"
canyon    "Canyon Bomber"
cbasebal  "Capcom Baseball (Japan)"
capbowl   "Capcom Bowling (set 1)"
capbowl2  "Capcom Bowling (set 2)"
cworld    "Capcom World (Japan)"
cworld2j  "Capcom World 2 (Japan)"
captcomj  "Captain Commando (Japan)"
captcomu  "Captain Commando (US)"
captcomm  "Captain Commando (World)"
csilver   "Captain Silver (Japan)"
caractn   "Car Action"
carnvckt  "Carnival (cocktail)"
carnival  "Carnival (upright)"
cawing    "Carrier Air Wing (World)"
cninjau   "Caveman Ninja (US)"
cninja0   "Caveman Ninja (World revision 0)"
cninja    "Caveman Ninja (World revision 3)"
centipdb  "Centipede (bootleg set 1)"
centipb2  "Centipede (bootleg set 2)"
centipd2  "Centipede (revision 2)"
centiped  "Centipede (revision 3)"
cerberus  "Cerberus"
challeng  "Challenger"
champbbj  "Champion Baseball (Japan)"
champbb2  "Champion Baseball II"
champbas  "Champion Baseball"
champwrj  "Champion Wrestler (Japan)"
champwru  "Champion Wrestler (US)"
champwr   "Champion Wrestler (World)"
csprint   "Championship Sprint"
changes   "Changes"
checkmaj  "Checkman (Japan)"
checkman  "Checkman"
checkmat  "Checkmate"
cheekyms  "Cheeky Mouse"
chelnovj  "Chelnov - Atomic Runner (Japan)"
chelnov   "Chelnov - Atomic Runner (US)"
cheyenne  "Cheyenne (version 1.0)"
marukodq  "Chibi Marukochan Deluxe Quiz"
cshift    "Chicken Shift"
chikij    "Chiki Chiki Boys (Japan)"
chiller   "Chiller (version 3.0)"
chimerab  "Chimera Beast"
chplftb   "Choplifter (alternate)"
chplftbl  "Choplifter (bootleg)"
chplft    "Choplifter"
chopper   "Chopper I"
chukatai  "Chuka Taisen (Japan)"
circuscc  "Circus Charlie (Centuri)"
circusce  "Circus Charlie (Centuri, earlier)"
circusc2  "Circus Charlie (no level select)"
circusc   "Circus Charlie"
circus    "Circus"
cischeat  "Cisco Heat"
citycon   "City Connection (set 1)"
citycona  "City Connection (set 2)"
claypign  "Clay Pigeon (version 2.0)"
cloak     "Cloak & Dagger"
cloud9    "Cloud 9 (prototype)"
clowns    "Clowns"
cobracmj  "Cobra-Command (Japan)"
cobracom  "Cobra-Command (World revision 5)"
colony7   "Colony 7 (set 1)"
colony7a  "Colony 7 (set 2)"
combat    "Combat (version 3.0)"
combascj  "Combat School (Japan trackball)"
combascb  "Combat School (bootleg)"
combasc   "Combat School (joystick)"
combasct  "Combat School (trackball)"
ctribe    "Combatribes, The (US)"
ctribeb   "Combatribes, The (bootleg)"
commsega  "Commando (Sega)"
commandu  "Commando (US)"
commando  "Commando (World)"
comotion  "Comotion"
congo     "Congo Bongo"
contrajb  "Contra (Japan bootleg)"
contraj   "Contra (Japan)"
contrab   "Contra (US bootleg)"
contra    "Contra (US)"
cookrace  "Cook Race"
clbowl    "Coors Light Bowling"
cop01     "Cop 01 (set 1)"
cop01a    "Cop 01 (set 2)"
copsnrob  "Cops'n Robbers"
cosmica2  "Cosmic Alien (older)"
cosmica   "Cosmic Alien"
cavenger  "Cosmic Avenger"
cchasm    "Cosmic Chasm (set 1)"
cchasm1   "Cosmic Chasm (set 2)"
cosmicg   "Cosmic Guerilla"
cosmicmo  "Cosmic Monsters"
cosmognj  "Cosmo Gang the Video (Japan)"
cosmogng  "Cosmo Gang the Video (US)"
cottong   "Cotocoto Cottong"
cracksht  "Crackshot (version 2.0)"
crash     "Crash"
crater    "Crater Raider"
crbaloon  "Crazy Balloon (set 1)"
crbalon2  "Crazy Balloon (set 2)"
crazyblk  "Crazy Blocks"
cclimbrj  "Crazy Climber (Japan)"
cclimber  "Crazy Climber (US)"
ccboot    "Crazy Climber (bootleg set 1)"
ccboot2   "Crazy Climber (bootleg set 2)"
cclimbr2  "Crazy Climber 2 (Japan)"
crazycop  "Crazy Cop (Japan)"
ckongalc  "Crazy Kong (Alca bootleg)"
ckongjeu  "Crazy Kong (Jeutel bootleg)"
ckongo    "Crazy Kong (Orca bootleg)"
ckongs    "Crazy Kong (Scramble hardware)"
ckong     "Crazy Kong (set 1)"
ckonga    "Crazy Kong (set 2)"
crimecj   "Crime City (Japan)"
crimecu   "Crime City (US)"
crimec    "Crime City (World)"
crimfgtj  "Crime Fighters (Japan 2 Players)"
crimfght  "Crime Fighters (US 4 players)"
crimfgt2  "Crime Fighters (World 2 Players)"
vendettj  "Crime Fighters 2 (Japan)"
crossbow  "Crossbow (version 2.0)"
crsword   "Crossed Swords"
cbusterj  "Crude Buster (Japan)"
cbusterw  "Crude Buster (World FU version)"
cbuster   "Crude Buster (World FX version)"
cruisin   "Cruisin"
crush3    "Crush Roller (Kural - bootleg?)"
crush2    "Crush Roller (Kural Esco - bootleg?)"
crush     "Crush Roller (Kural Samno)"
ccastles  "Crystal Castles (set 1)"
ccastle2  "Crystal Castles (set 2)"
cubybop   "Cuby Bop"
cuebrick  "Cuebrick"
curvebal  "Curve Ball"
cutieq    "Cutie Q"
cybattlr  "Cybattler"
cyberlip  "Cyber-Lip"
cyberba2  "Cyberball (Version 2)"
cyberbal  "Cyberball (Version 4)"
cyberb2p  "Cyberball 2072 (2 player)"
dcon      "D-Con"
ddayc     "D-Day (Centuri)"
dday      "D-Day"
ghoulsj   "Dai Makai-Mura (Japan)"
dairesya  "Dai Ressya Goutou (Japan)"
dkgensan  "Daiku no Gensan (Japan)"
dakkochn  "DakkoChan Jansoh"
dangar    "Dangar - Ufo Robo (12/1/1986)"
dangar2   "Dangar - Ufo Robo (9/26/1986)"
dangarb   "Dangar - Ufo Robo (bootleg)"
dangerz   "Danger Zone"
dangseed  "Dangerous Seed (Japan)"
dfeveron  "Dangun Feveron (Japan)"
indyheat  "Danny Sullivan's Indy Heat"
darkadv   "Dark Adventure"
darkplnt  "Dark Planet"
darkseaj  "Dark Seal (Japan)"
darksea1  "Dark Seal (World revision 1)"
darkseal  "Dark Seal (World revision 3)"
darwin    "Darwin 4078 (Japan)"
powj      "Datsugoku - Prisoners of War (Japan)"
280zzzap  "Datsun 280 Zzzap"
deadconj  "Dead Connection (Japan)"
deadconx  "Dead Connection (World)"
deadeye   "Dead Eye"
defence   "Defence Command"
redufo    "Defend the Terra Attack on the Red UFO (bootleg)"
defendg   "Defender (Green label)"
defender  "Defender (Red label)"
defendw   "Defender (White label)"
defcmnd   "Defense Command (set 1)"
destderm  "Demolition Derby (2-Player Mono Board Version)"
destderb  "Demolition Derby"
demon     "Demon"
demonwld  "Demon's World / Horror Story"
depthch   "Depthcharge"
desertgu  "Desert Gun"
desterth  "Destination Earth"
detatwin  "Detana!! Twin Bee (Japan)"
devstor3  "Devastators (version V)"
devstor2  "Devastators (version X)"
devstors  "Devastators (version Z)"
devilfsg  "Devil Fish (Galaxian hardware, bootleg?)"
devilfsh  "Devil Fish"
devilw    "Devil World"
devzone   "Devil Zone"
diamond   "Diamond Run"
digdugat  "Dig Dug (Atari)"
digdug    "Dig Dug (set 1)"
digdugb   "Dig Dug (set 2)"
digdug2   "Dig Dug II (set 1)"
digdug2a  "Dig Dug II (set 2)"
digger    "Digger"
dinorexj  "Dino Rex (Japan)"
dinorexu  "Dino Rex (US)"
dinorex   "Dino Rex (World)"
disco     "Disco No.1"
dotrone   "Discs of Tron (Environmental)"
dotron    "Discs of Tron (Upright)"
dorunruc  "Do! Run Run (Do's Castle hardware)"
dorunrun  "Do! Run Run (set 1)"
dorunru2  "Do! Run Run (set 2)"
ddonpach  "Dodonpachi (Japan)"
dogfight  "Dog Fight"
dogpatch  "Dog Patch"
dogosoke  "Dogou Souken"
dogyuun   "Dogyuun"
dokaben   "Dokaben (Japan)"
domino    "Domino Man"
dominos   "Dominos"
dondokod  "Don Doko Don (Japan)"
dkongjp   "Donkey Kong (Japan set 1)"
dkongjpo  "Donkey Kong (Japan set 2)"
dkong     "Donkey Kong (US)"
dkong3j   "Donkey Kong 3 (Japan)"
dkong3    "Donkey Kong 3 (US)"
dkngjrjp  "Donkey Kong Jr. (Original Japanese)"
dkjrjp    "Donkey Kong Junior (Japan)"
dkongjr   "Donkey Kong Junior (US)"
dkjrbl    "Donkey Kong Junior (bootleg?)"
dotrikun  "Dottori Kun (new version)"
dotriku2  "Dottori Kun (old version)"
ddragon   "Double Dragon (Japan)"
doubledr  "Double Dragon (Neo-Geo)"
ddragonu  "Double Dragon (US)"
ddragonb  "Double Dragon (bootleg)"
ddrago3b  "Double Dragon 3 - The Rosetta Stone (bootleg)"
ddragon3  "Double Dragon 3 - The Rosetta Stone"
ddragon2  "Double Dragon II - The Revenge"
ddribble  "Double Dribble"
dbldyn    "Double Dynamites, The"
dplay     "Double Play"
downtown  "DownTown"
drtoppel  "Dr. Toppel's Tankentai (Japan)"
dbreed    "Dragon Breed"
drgnbstr  "Dragon Buster"
dsaberj   "Dragon Saber (Japan)"
dsaber    "Dragon Saber"
dspirit   "Dragon Spirit (new version)"
dspirito  "Dragon Spirit (old version)"
drgnunit  "Dragon Unit / Castle of Dragon"
drgninja  "Dragonninja (Japan)"
dremshpr  "Dream Shopper"
dsoccr94  "Dream Soccer '94"
driftout  "Drift Out (Japan)"
driveout  "Drive Out"
dumpmtmt  "Dump Matsumoto (Japan)"
dyger     "Dyger (set 1)"
dygera    "Dyger (set 2)"
dynduke   "Dynamite Duke"
dduxbl    "Dynamite Dux (bootleg)"
eswatbl   "E-Swat (bootleg)"
eswat     "E-Swat"
esprade   "ESP Ra.De. (Japan)"
eagle     "Eagle (set 1)"
eagle2    "Eagle (set 2)"
edf       "Earth Defense Force"
eggs      "Eggs"
eightman  "Eight Man"
elecyoyo  "Electric Yo-Yo, The (set 1)"
elecyoy2  "Electric Yo-Yo, The (set 2)"
elevatob  "Elevator Action (bootleg)"
elevator  "Elevator Action"
elim2     "Eliminator (2 Players, set 1)"
elim2a    "Eliminator (2 Players, set 2)"
elim4     "Eliminator (4 Players)"
empcityj  "Empire City: 1931 (Japan)"
empcity   "Empire City: 1931 (bootleg?)"
esb       "Empire Strikes Back, The"
theends   "End, The (Stern)"
theend    "End, The"
endurobl  "Enduro Racer (bootleg set 1)"
endurob2  "Enduro Racer (bootleg set 2)"
enduror   "Enduro Racer"
eprom     "Escape from the Planet of the Robot Monsters (set 1)"
eprom2    "Escape from the Planet of the Robot Monsters (set 2)"
espiale   "Espial (Europe)"
espial    "Espial (US?)"
euroch92  "Euro Champ '92 (World)"
wc90b     "Euro League"
excthour  "Exciting Hour"
exctscca  "Exciting Soccer (alternate music)"
exctsccb  "Exciting Soccer (bootleg)"
exctscc2  "Exciting Soccer II"
exctsccr  "Exciting Soccer"
exedexes  "Exed Exes"
exeriont  "Exerion (Taito)"
exerionb  "Exerion (bootleg)"
exerion   "Exerion"
exerizrb  "Exerizer (Japan) (bootleg)"
exodus    "Exodus (bootleg?)"
exprraid  "Express Raider (US)"
extrmatn  "Extermination (US)"
exterm    "Exterminator"
ebases    "Extra Bases"
einnings  "Extra Innings"
eyes      "Eyes (Digitrex Techstar)"
eyes2     "Eyes (Techstar Inc.)"
f1dreamb  "F-1 Dream (bootleg)"
f1dream   "F-1 Dream"
f1gpstar  "F1 Grand Prix Star"
faceoff   "Face Off (Japan)"
flstory   "Fairyland Story, The"
flstoryj  "Fairyland Story, The (Japan)"
fantasyj  "Fantasy (Japan)"
fantasy   "Fantasy (US)"
fantzone  "Fantasy Zone (Japan New Ver.)"
fantzono  "Fantasy Zone (Old Ver.)"
fantazia  "Fantazia"
farwest   "Far West"
fastfred  "Fast Freddie"
fastlane  "Fast Lane"
sqbert    "Faster, Harder, More Challenging Q*bert (prototype)"
fatfury1  "Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai"
fatfury2  "Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai"
fatfury3  "Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai"
fatfursp  "Fatal Fury Special / Garou Densetsu Special"
fax       "Fax"
fightfev  "Fight Fever / Crystal Legacy"
ffantasy  "Fighting Fantasy (Japan)"
fitegolf  "Fighting Golf"
fhawk     "Fighting Hawk (Japan)"
ftsoccer  "Fighting Soccer"
finalbj   "Final Blow (Japan)"
finalb    "Final Blow (World)"
ffightj   "Final Fight (Japan)"
ffightu   "Final Fight (US)"
ffight    "Final Fight (World)"
fround    "Final Round"
fstarfrc  "Final Star Force (US)"
finalizb  "Finalizer - Super Transformation (bootleg)"
finalizr  "Finalizer - Super Transformation"
finehour  "Finest Hour (Japan)"
fireone   "Fire One"
fireshrk  "Fire Shark"
firetpbl  "Fire Trap (Japan bootleg)"
firetrap  "Fire Trap"
firetrk   "Fire Truck"
fitter    "Fitter"
flkatck   "Flak Attack (Japan)"
flashgal  "Flash Gal"
fpointbl  "Flash Point (bootleg)"
fpoint    "Flash Point"
flicky    "Flicky (set 1)"
flicky2   "Flicky (set 2)"
flyboyb   "Fly-Boy (bootleg)"
flyboy    "Fly-Boy"
fshark    "Flying Shark (World)"
fsharkbt  "Flying Shark (bootleg)"
foodf     "Food Fight"
footchmp  "Football Champ (World)"
fbfrenzy  "Football Frenzy"
forgottn  "Forgotten Worlds (US)"
formatz   "Formation Z"
freeze    "Freeze"
frenzy    "Frenzy"
friskyt   "Frisky Tom"
froggers  "Frog"
frogseg1  "Frogger (Sega set 1)"
frogseg2  "Frogger (Sega set 2)"
froggrmc  "Frogger (modified Moon Cresta hardware)"
frogger   "Frogger"
frogs     "Frogs"
frontlin  "Front Line"
funkybee  "Funky Bee"
fnkyfish  "Funky Fish"
suprmou2  "Funny Mouse (bootleg?)"
futspy    "Future Spy"
gwarrior  "Galactic Warriors"
galaga84  "Galaga '84"
galag88j  "Galaga '88 (Japan)"
galaga88  "Galaga '88 (set 1)"
galag88b  "Galaga '88 (set 2)"
galagamw  "Galaga (Midway)"
galaga    "Galaga (Namco)"
galagab2  "Galaga (bootleg)"
galagads  "Galaga (fast shoot)"
galaga3   "Galaga 3 (set 1)"
galaga3a  "Galaga 3 (set 2)"
galmidw   "Galaxian (Midway)"
galaxian  "Galaxian (Namco)"
galaxb    "Galaxian (bootleg)"
galap4    "Galaxian Part 4"
galapx    "Galaxian Part X"
galturbo  "Galaxian Turbo"
galaxyfg  "Galaxy Fight - Universal Warriors"
grescue   "Galaxy Rescue"
galxwars  "Galaxy Wars"
galivan2  "Galivan - Cosmo Police (12/11/1985)"
galivan   "Galivan - Cosmo Police (12/16/1985)"
gallag    "Gallag"
gallop    "Gallop - Armed police Unit (Japan)"
galpanic  "Gals Panic"
ginkun    "Ganbare Ginkun"
gbusters  "Gang Busters"
gangwars  "Gang Wars (US)"
gangwarb  "Gang Wars (bootleg)"
gaplus    "Gaplus (set 1)"
gaplusa   "Gaplus (set 2)"
gardiab   "Gardia (bootleg)"
gardia    "Gardia"
garuka    "Garuka (Japan)"
garyoret  "Garyo Retsuden (Japan)"
gatedom1  "Gate of Doom (US revision 1)"
gatedoom  "Gate of Doom (US revision 4)"
gaunt2p   "Gauntlet (2 Players)"
gauntir1  "Gauntlet (Intermediate Release 1)"
gauntir2  "Gauntlet (Intermediate Release 2)"
gaunt2    "Gauntlet II"
gauntlet  "Gauntlet"
geebeeg   "Gee Bee (Gremlin)"
geebee    "Gee Bee"
gemini    "Gemini Wing"
genpeitd  "Genpei ToumaDen"
gensitou  "Genshi-Tou 1930's"
getstarj  "Get Star (Japan)"
getstarb  "Get Star (bootleg)"
gpilots   "Ghost Pilots"
gngt      "Ghosts'n Goblins (US)"
gng       "Ghosts'n Goblins (World? set 1)"
gnga      "Ghosts'n Goblins (World? set 2)"
ghoulsu   "Ghouls'n Ghosts (US)"
ghouls    "Ghouls'n Ghosts (World)"
ghox      "Ghox"
gimeabrk  "Gimme A Break"
ginganin  "Ginga NinkyouDen"
gteikoku  "Gingateikoku No Gyakushu"
gladiatr  "Gladiator (US)"
theglob   "Glob, The"
yamagchi  "Go Go Mr. Yamaguchi / Yuke Yuke Yamaguchi-kun"
goalx3    "Goal! Goal! Goal!"
gghost    "Goalie Ghost"
goindol   "Goindol"
goldmedl  "Gold Medalist"
goldnaxe  "Golden Axe (Version 1)"
goldnaxj  "Golden Axe (Version 1, Japan)"
goldnaxb  "Golden Axe (Version 2 317-0110)"
goldnaxc  "Golden Axe (Version 2 317-0122)"
goldnaxa  "Golden Axe (Version 2)"
goldnabl  "Golden Axe (bootleg)"
gondo     "Gondomania (US)"
gorfpgm1  "Gorf (Program 1)"
gorf      "Gorf"
gotya     "Got-Ya (12/24/1981, prototype?)"
gradius2  "Gradius II - Gofer no Yabou (Japan set 1)"
grdius2a  "Gradius II - Gofer no Yabou (Japan set 2)"
grdius2b  "Gradius II - Gofer no Yabou (Japan set 3)"
grdius3a  "Gradius III (Asia)"
gradius3  "Gradius III (Japan)"
gradius   "Gradius"
